dataset,encoder,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,best_n_gates,best_n_genome_params,best_genome_number,elapsed_s
iris,fixed_angle,0,4,5,5,0.05,80,20,0.5621441602706909,0.7666666666666667,0.5144633054733276,0.8,4,1,57,74.38723182678223
iris,fixed_amplitude,0,4,2,5,0.05,80,20,0.5578821897506714,0.8333333333333334,0.5467408895492554,0.9,3,2,69,66.43840098381042
iris,fixed_basis,0,4,6,5,0.05,80,20,0.7097205519676208,0.7083333333333334,0.8185741901397705,0.6666666666666666,9,7,80,49.061285972595215
iris,learned,0,4,4,5,0.05,80,20,0.3107185363769531,0.925,0.23970596492290497,0.9666666666666667,6,2,80,188.02560377120972
iris,linear_proj,0,4,4,5,0.05,80,20,0.16458362340927124,0.975,0.1503979116678238,0.9333333333333333,4,1,56,236.75128746032715
iris,reupload_euler,0,4,4,5,0.05,80,20,0.1455647498369217,0.9583333333333334,0.1202533170580864,1.0,5,3,64,337.8273754119873
wine,fixed_angle,0,4,2,5,0.05,80,20,0.7409315705299377,0.7887323943661971,0.611227810382843,0.8611111111111112,6,4,75,69.5267641544342
wine,fixed_amplitude,0,4,4,5,0.05,80,20,0.7389096617698669,0.8380281690140845,0.7041370868682861,0.8611111111111112,6,3,67,62.5637788772583
wine,fixed_basis,0,4,5,5,0.05,80,20,1.087548017501831,0.33098591549295775,0.9805369973182678,0.5277777777777778,6,2,59,58.258394718170166
wine,learned,0,4,4,5,0.05,80,20,0.5923486351966858,0.8028169014084507,0.45234215259552,0.8333333333333334,0,0,25,214.44012904167175
wine,linear_proj,0,4,5,5,0.05,80,20,0.16574251651763916,0.9788732394366197,0.1361428201198578,0.9722222222222222,5,1,77,232.39728593826294
wine,reupload_euler,0,4,4,5,0.05,80,20,0.12956786155700684,0.9929577464788732,0.10859300196170807,1.0,2,0,18,380.2434551715851
seeds,fixed_angle,0,4,4,5,0.05,80,20,0.4717153012752533,0.8511904761904762,0.4866315722465515,0.8571428571428571,1,1,28,82.44003200531006
seeds,fixed_amplitude,0,4,4,5,0.05,80,20,0.72442626953125,0.7797619047619048,0.6047318577766418,0.8809523809523809,4,1,68,76.46966052055359
seeds,fixed_basis,0,4,4,5,0.05,80,20,0.7783222198486328,0.7321428571428571,0.8885924220085144,0.6666666666666666,4,2,78,76.7751111984253
seeds,learned,0,4,4,5,0.05,80,20,0.3588944375514984,0.8690476190476191,0.3444262444972992,0.8333333333333334,2,1,36,248.6370644569397
seeds,linear_proj,0,4,4,5,0.05,80,20,0.28364136815071106,0.9226190476190477,0.19931790232658386,1.0,1,0,30,260.60426211357117
seeds,reupload_euler,0,4,4,5,0.05,80,20,0.2082955539226532,0.9345238095238095,0.14268122613430023,1.0,3,0,78,406.223158121109
breast_cancer,fixed_angle,0,4,4,5,0.05,80,20,0.34498023986816406,0.8571428571428571,0.37230411171913147,0.8596491228070176,7,7,79,207.43177318572998
breast_cancer,fixed_amplitude,0,4,5,5,0.05,80,20,0.5300261378288269,0.7406593406593407,0.5551337003707886,0.6842105263157895,8,8,75,222.5677032470703
breast_cancer,fixed_basis,0,4,6,5,0.05,80,20,0.4012557566165924,0.8219780219780219,0.4364953637123108,0.7543859649122807,5,5,70,247.40739607810974
breast_cancer,learned,0,4,5,5,0.05,80,20,0.2549143135547638,0.9098901098901099,0.27836209535598755,0.8947368421052632,2,0,80,684.4520874023438
breast_cancer,linear_proj,0,4,4,5,0.05,80,20,0.11274704337120056,0.9582417582417583,0.1308838129043579,0.9649122807017544,7,3,61,664.2127821445465
breast_cancer,reupload_euler,0,4,6,5,0.05,80,20,0.09983055293560028,0.9824175824175824,0.12145490944385529,0.9736842105263158,1,1,36,1145.000822544098
