dataset,variant,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_enc_gates,n_ansatz_gates,best_genome_number,elapsed_s
iris,v1,0,4,7,5,0.05,120,25,0.5065786242485046,0.8083333333333333,0.5367909073829651,0.7333333333333333,3,11,119,259.2099766731262
wine,v1,0,4,3,5,0.05,120,25,0.5998269319534302,0.7816901408450704,0.5599486231803894,0.8055555555555556,2,4,99,229.65006136894226
seeds,v1,0,4,5,5,0.05,120,25,0.3382111191749573,0.8869047619047619,0.3867341876029968,0.8333333333333334,2,5,102,261.0312554836273
breast_cancer,v1,0,4,5,5,0.05,120,25,0.290060430765152,0.8813186813186813,0.3289109170436859,0.8421052631578947,3,4,67,776.6183273792267
