dataset,variant,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_enc_gates,n_ansatz_gates,best_genome_number,elapsed_s
iris,v2,0,4,7,5,0.05,120,25,0.20876042544841766,0.95,0.22176317870616913,0.9666666666666667,7,7,119,214.52278470993042
wine,v2,0,4,7,5,0.05,120,25,0.4818003475666046,0.8591549295774648,0.320430725812912,0.9166666666666666,7,4,117,233.01530861854553
seeds,v2,0,4,5,5,0.05,120,25,0.31375986337661743,0.875,0.33725395798683167,0.8571428571428571,6,3,83,288.77172780036926
breast_cancer,v2,0,4,5,5,0.05,120,25,0.26744982600212097,0.8989010989010989,0.3024698793888092,0.8771929824561403,3,2,112,708.8020102977753
