dataset,variant,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_enc_gates,n_ansatz_gates,best_genome_number,elapsed_s
iris,v2,1,4,4,5,0.05,120,25,0.163200244307518,0.9416666666666667,0.09460405260324478,1.0,6,1,94,175.1401116847992
iris,v2,2,4,6,5,0.05,120,25,0.16285663843154907,0.9583333333333334,0.07631175965070724,1.0,5,5,106,216.6567621231079
wine,v2,1,4,5,5,0.05,120,25,0.5348831415176392,0.7676056338028169,0.4218217432498932,0.8333333333333334,4,2,113,213.7607753276825
wine,v2,2,4,5,5,0.05,120,25,0.7371708750724792,0.7112676056338029,0.651730477809906,0.8055555555555556,4,2,58,218.67110419273376
seeds,v2,1,4,5,5,0.05,120,25,0.32396212220191956,0.8809523809523809,0.3322264552116394,0.8333333333333334,5,3,116,306.2986409664154
seeds,v2,2,4,5,5,0.05,120,25,0.28998082876205444,0.8809523809523809,0.33084341883659363,0.8333333333333334,9,3,112,333.3369126319885
breast_cancer,v2,1,4,5,5,0.05,120,25,0.26055818796157837,0.9054945054945055,0.2887410819530487,0.8771929824561403,6,1,120,716.9983468055725
breast_cancer,v2,2,4,7,5,0.05,120,25,0.23651739954948425,0.9120879120879121,0.2734977900981903,0.8859649122807017,4,0,115,678.2729494571686
