dataset,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_enc_gates,n_ansatz_gates,best_genome_number,elapsed_s
iris,0,4,6,5,0.05,120,25,0.6217235326766968,0.725,0.6437435150146484,0.7,4,4,115,103.60238742828369
wine,0,4,6,5,0.05,120,25,0.6214131712913513,0.7676056338028169,0.5417472124099731,0.7777777777777778,4,2,104,118.77733087539673
seeds,0,4,5,5,0.05,120,25,0.3249671161174774,0.8869047619047619,0.33082571625709534,0.8333333333333334,5,3,87,167.35726523399353
breast_cancer,0,4,6,5,0.05,120,25,0.2850911021232605,0.8835164835164835,0.3255975842475891,0.8508771929824561,5,2,90,407.7395100593567
