dataset,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_enc_gates,n_ansatz_gates,best_genome_number,elapsed_s
iris,0,4,7,5,0.05,300,30,0.48906707763671875,0.8083333333333333,0.5416516065597534,0.6333333333333333,10,11,256,490.7112202644348
wine,0,4,7,5,0.05,300,30,0.5506427884101868,0.7816901408450704,0.4272672235965729,0.8055555555555556,10,8,256,673.794073343277
seeds,0,4,6,5,0.05,300,30,0.387208491563797,0.8690476190476191,0.3275527358055115,0.8333333333333334,2,5,290,519.2851355075836
breast_cancer,0,4,6,5,0.05,300,30,0.2939191460609436,0.8923076923076924,0.32687848806381226,0.8771929824561403,5,5,295,1161.1375436782837
