dataset,encoder,n_qubits,seed,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_encoder_params,best_n_gates,best_n_genome_params,best_genome_number,elapsed_s
iris,fixed_angle,4,0,5,0.05,50,20,0.661007821559906,0.725,0.7603505849838257,0.6,0,3,2,14,38.96928286552429
iris,fixed_amplitude,4,0,5,0.05,50,20,0.9335256218910217,0.6583333333333333,0.8638681769371033,0.6666666666666666,0,3,3,46,31.03832983970642
iris,learned,4,0,5,0.05,50,20,0.20749309659004211,0.95,0.18485023081302643,1.0,16,3,0,30,111.37071561813354
iris,fixed_angle,6,0,5,0.05,50,20,0.6816081404685974,0.75,0.8387667536735535,0.7333333333333333,0,3,5,45,38.03987383842468
iris,fixed_amplitude,6,0,5,0.05,50,20,0.933994472026825,0.3416666666666667,0.8643514513969421,0.4,0,4,2,40,30.881126165390015
iris,learned,6,0,5,0.05,50,20,0.3648097813129425,0.9416666666666667,0.35640063881874084,0.9666666666666667,24,5,4,44,143.2648491859436
iris,fixed_angle,8,0,5,0.05,50,20,0.5875558853149414,0.7916666666666666,0.6541243195533752,0.6333333333333333,0,7,8,50,46.47902870178223
iris,fixed_amplitude,8,0,5,0.05,50,20,1.0987942218780518,0.3333333333333333,1.0987943410873413,0.3333333333333333,0,3,3,49,35.38324284553528
iris,learned,8,0,5,0.05,50,20,0.39285457134246826,0.9416666666666667,0.35724037885665894,0.9666666666666667,32,12,9,50,195.94700026512146
iris,fixed_angle,10,0,5,0.05,50,20,0.6852709650993347,0.7583333333333333,0.7598169445991516,0.6666666666666666,0,4,1,48,48.535340785980225
iris,fixed_amplitude,10,0,5,0.05,50,20,1.2991573810577393,0.3333333333333333,1.2838549613952637,0.3333333333333333,0,6,2,49,33.76666712760925
iris,learned,10,0,5,0.05,50,20,0.41805267333984375,0.9083333333333333,0.4371100962162018,0.8333333333333334,40,3,1,30,236.87875151634216
wine,fixed_angle,4,0,5,0.05,50,20,0.6100577116012573,0.7887323943661971,0.5189960598945618,0.8055555555555556,0,9,8,41,47.31855797767639
wine,fixed_amplitude,4,0,5,0.05,50,20,0.8364924192428589,0.7323943661971831,0.7969744205474854,0.8333333333333334,0,7,6,43,54.90566301345825
wine,learned,4,0,5,0.05,50,20,0.5963109731674194,0.795774647887324,0.4607490003108978,0.8333333333333334,16,0,0,17,139.21395063400269
wine,fixed_angle,6,0,5,0.05,50,20,0.8339627981185913,0.676056338028169,0.8357172608375549,0.6666666666666666,0,2,1,6,47.466660261154175
wine,fixed_amplitude,6,0,5,0.05,50,20,1.0859369039535522,0.4014084507042254,1.0893961191177368,0.3888888888888889,0,3,2,49,42.83736276626587
