dataset,encoder,n_qubits,seed,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_encoder_params,best_n_gates,best_n_genome_params,best_genome_number,elapsed_s
wine,learned,4,1,5,0.05,50,20,0.5933674573898315,0.7887323943661971,0.4626375436782837,0.8333333333333334,16,0,0,24,137.68914937973022
wine,learned,4,2,5,0.05,50,20,0.5545642375946045,0.795774647887324,0.41801583766937256,0.9166666666666666,16,3,3,33,135.88366770744324
wine,linear_proj,4,1,5,0.05,50,20,0.1909741461277008,0.9577464788732394,0.16005666553974152,1.0,112,1,0,42,141.4479742050171
wine,linear_proj,4,2,5,0.05,50,20,0.21528750658035278,0.9577464788732394,0.15806715190410614,1.0,112,3,4,46,137.0203995704651
wine,reupload_euler,4,1,5,0.05,50,20,0.11188674718141556,0.9859154929577465,0.08578973263502121,1.0,336,5,5,28,244.35854601860046
wine,reupload_euler,4,2,5,0.05,50,20,0.130512997508049,0.9859154929577465,0.1091475635766983,1.0,336,3,3,27,242.88316106796265
wine,learned,6,1,5,0.05,50,20,0.5944255590438843,0.7887323943661971,0.47019821405410767,0.8055555555555556,24,1,0,16,191.52549123764038
wine,learned,6,2,5,0.05,50,20,0.5836359858512878,0.795774647887324,0.4643028974533081,0.8611111111111112,24,1,1,22,187.39625883102417
wine,linear_proj,6,1,5,0.05,50,20,0.20043352246284485,0.971830985915493,0.15953640639781952,0.9722222222222222,168,5,3,33,191.5345356464386
wine,linear_proj,6,2,5,0.05,50,20,0.18608546257019043,0.9788732394366197,0.17905932664871216,0.9722222222222222,168,2,0,7,191.83387637138367
wine,reupload_euler,6,1,5,0.05,50,20,0.10443216562271118,0.9859154929577465,0.0813145563006401,1.0,504,4,3,37,349.0747013092041
wine,reupload_euler,6,2,5,0.05,50,20,0.1509045660495758,0.9929577464788732,0.1175517737865448,0.9722222222222222,504,4,2,31,346.03736114501953
wine,learned,8,1,5,0.05,50,20,0.4888592064380646,0.8450704225352113,0.4179917573928833,0.8888888888888888,32,4,3,33,250.76388955116272
wine,learned,8,2,5,0.05,50,20,0.5358103513717651,0.823943661971831,0.42489397525787354,0.9444444444444444,32,0,0,20,248.87638092041016
wine,linear_proj,8,1,5,0.05,50,20,0.2127934694290161,0.9788732394366197,0.20161142945289612,1.0,224,3,2,42,257.621426820755
wine,linear_proj,8,2,5,0.05,50,20,0.18838992714881897,0.9788732394366197,0.17825333774089813,0.9722222222222222,224,2,0,7,251.9478394985199
wine,reupload_euler,8,1,5,0.05,50,20,0.15252621471881866,0.971830985915493,0.12514516711235046,0.9722222222222222,672,3,1,32,473.94216680526733
wine,reupload_euler,8,2,5,0.05,50,20,0.09066421538591385,0.9929577464788732,0.0707629919052124,1.0,672,2,1,17,467.4401915073395
wine,learned,10,1,5,0.05,50,20,0.5946313142776489,0.795774647887324,0.46107715368270874,0.8333333333333334,40,3,2,23,321.79396963119507
wine,learned,10,2,5,0.05,50,20,0.43713515996932983,0.8873239436619719,0.37555742263793945,0.8888888888888888,40,2,0,17,315.4474296569824
wine,linear_proj,10,1,5,0.05,50,20,0.2623276710510254,0.9084507042253521,0.19138914346694946,0.9722222222222222,280,3,2,39,332.1284017562866
wine,linear_proj,10,2,5,0.05,50,20,0.18769939243793488,0.9788732394366197,0.17379815876483917,1.0,280,2,0,7,321.2721242904663
wine,reupload_euler,10,1,5,0.05,50,20,0.1357908993959427,0.9929577464788732,0.10014048963785172,1.0,840,1,0,18,607.5333125591278
wine,reupload_euler,10,2,5,0.05,50,20,0.1367967426776886,0.9929577464788732,0.1040344089269638,1.0,840,2,3,34,600.8103585243225
seeds,learned,4,1,5,0.05,50,20,0.35172170400619507,0.8630952380952381,0.345994770526886,0.8333333333333334,16,1,1,40,164.25885605812073
seeds,learned,4,2,5,0.05,50,20,0.31984764337539673,0.8928571428571429,0.30061495304107666,0.8095238095238095,16,4,2,48,164.7842185497284
seeds,linear_proj,4,1,5,0.05,50,20,0.23617121577262878,0.9285714285714286,0.1904103308916092,0.9523809523809523,64,2,1,33,165.9486162662506
seeds,linear_proj,4,2,5,0.05,50,20,0.28711044788360596,0.8988095238095238,0.19612906873226166,0.9761904761904762,64,3,1,35,167.77565240859985
seeds,reupload_euler,4,1,5,0.05,50,20,0.22976629436016083,0.9345238095238095,0.18209077417850494,0.9523809523809523,192,3,2,50,288.73429250717163
seeds,reupload_euler,4,2,5,0.05,50,20,0.24338513612747192,0.9464285714285714,0.20317697525024414,0.9761904761904762,192,0,0,26,285.8051552772522
seeds,learned,6,1,5,0.05,50,20,0.37856221199035645,0.8571428571428571,0.3485456109046936,0.8571428571428571,24,3,3,47,226.65398025512695
seeds,learned,6,2,5,0.05,50,20,0.33949604630470276,0.9107142857142857,0.3300763666629791,0.8571428571428571,24,5,3,41,230.23649716377258
seeds,linear_proj,6,1,5,0.05,50,20,0.2770395874977112,0.8869047619047619,0.17487691342830658,0.9761904761904762,96,1,0,32,229.7928867340088
seeds,linear_proj,6,2,5,0.05,50,20,0.23814544081687927,0.9166666666666666,0.1910504847764969,0.9047619047619048,96,11,10,47,233.7940263748169
seeds,reupload_euler,6,1,5,0.05,50,20,0.22190150618553162,0.9285714285714286,0.19120928645133972,0.9761904761904762,288,3,1,35,413.3446235656738
seeds,reupload_euler,6,2,5,0.05,50,20,0.2218378633260727,0.9345238095238095,0.19836875796318054,0.9523809523809523,288,3,3,36,416.4894814491272
seeds,learned,8,1,5,0.05,50,20,0.3468378186225891,0.8928571428571429,0.25927600264549255,0.9523809523809523,32,2,1,33,306.46500062942505
seeds,learned,8,2,5,0.05,50,20,0.3237524628639221,0.9166666666666666,0.29286083579063416,0.9047619047619048,32,5,2,49,300.4261417388916
seeds,linear_proj,8,1,5,0.05,50,20,0.25792384147644043,0.9226190476190477,0.20558245480060577,1.0,128,1,0,31,305.2366464138031
seeds,linear_proj,8,2,5,0.05,50,20,0.3038526177406311,0.9226190476190477,0.22607262432575226,1.0,128,2,0,11,305.91957235336304
seeds,reupload_euler,8,1,5,0.05,50,20,0.223003089427948,0.9285714285714286,0.17774255573749542,0.9761904761904762,384,1,0,35,557.6779959201813
seeds,reupload_euler,8,2,5,0.05,50,20,0.2199581265449524,0.9285714285714286,0.19812804460525513,0.9523809523809523,384,2,0,31,558.0450489521027
seeds,learned,10,1,5,0.05,50,20,0.3390955626964569,0.8809523809523809,0.2954394221305847,0.9047619047619048,40,6,5,47,385.64234375953674
seeds,learned,10,2,5,0.05,50,20,0.35153430700302124,0.8809523809523809,0.3107551038265228,0.8809523809523809,40,0,0,9,378.96496391296387
seeds,linear_proj,10,1,5,0.05,50,20,0.2580333352088928,0.8988095238095238,0.20125402510166168,1.0,160,1,0,33,389.67639899253845
seeds,linear_proj,10,2,5,0.05,50,20,0.288980096578598,0.9107142857142857,0.19793419539928436,0.9761904761904762,160,4,0,44,388.02446460723877
seeds,reupload_euler,10,1,5,0.05,50,20,0.1987001746892929,0.9285714285714286,0.18715517222881317,0.9523809523809523,480,5,2,42,714.3757710456848
seeds,reupload_euler,10,2,5,0.05,50,20,0.20398195087909698,0.9285714285714286,0.17225612699985504,0.9523809523809523,480,1,1,31,709.9862854480743
breast_cancer,learned,4,1,5,0.05,50,20,0.25918903946876526,0.9032967032967033,0.26918020844459534,0.8947368421052632,16,2,2,45,424.9154632091522
breast_cancer,learned,4,2,5,0.05,50,20,0.26343488693237305,0.9076923076923077,0.29451408982276917,0.8771929824561403,16,1,0,14,446.70311641693115
breast_cancer,linear_proj,4,1,5,0.05,50,20,0.1086195856332779,0.9802197802197802,0.11919047683477402,0.956140350877193,248,6,2,39,441.9721927642822
breast_cancer,linear_proj,4,2,5,0.05,50,20,0.09449906647205353,0.9846153846153847,0.11223739385604858,0.9736842105263158,248,1,0,49,449.53995990753174
breast_cancer,reupload_euler,4,1,5,0.05,50,20,0.11770324409008026,0.9824175824175824,0.1296939253807068,0.9736842105263158,744,2,0,37,770.3480172157288
breast_cancer,reupload_euler,4,2,5,0.05,50,20,0.12244059145450592,0.9846153846153847,0.1349640041589737,0.9649122807017544,744,0,0,4,770.024299621582
breast_cancer,learned,6,1,5,0.05,50,20,0.25795793533325195,0.8857142857142857,0.27190858125686646,0.9035087719298246,24,3,1,45,592.3286602497101
breast_cancer,learned,6,2,5,0.05,50,20,0.24945060908794403,0.9098901098901099,0.26297199726104736,0.9210526315789473,24,2,0,47,600.7779059410095
breast_cancer,linear_proj,6,1,5,0.05,50,20,0.1102491021156311,0.9868131868131869,0.1284763365983963,0.9649122807017544,372,3,1,30,599.4137859344482
breast_cancer,linear_proj,6,2,5,0.05,50,20,0.10019688308238983,0.9824175824175824,0.12027424573898315,0.9736842105263158,372,1,0,49,611.554767370224
breast_cancer,reupload_euler,6,1,5,0.05,50,20,0.1138509064912796,0.9714285714285714,0.13204258680343628,0.9649122807017544,1116,1,1,5,1098.8459115028381
breast_cancer,reupload_euler,6,2,5,0.05,50,20,0.09781411290168762,0.989010989010989,0.10972515493631363,0.9736842105263158,1116,2,0,3,1085.6655144691467
breast_cancer,learned,8,1,5,0.05,50,20,0.19025662541389465,0.9340659340659341,0.22232036292552948,0.9298245614035088,32,5,3,47,792.1184325218201
breast_cancer,learned,8,2,5,0.05,50,20,0.21362358331680298,0.9274725274725275,0.23814614117145538,0.9298245614035088,32,5,1,28,889.1856465339661
breast_cancer,linear_proj,8,1,5,0.05,50,20,0.1046772375702858,0.9758241758241758,0.12570925056934357,0.9736842105263158,496,2,1,16,965.917366027832
breast_cancer,linear_proj,8,2,5,0.05,50,20,0.09880831092596054,0.9824175824175824,0.11190128326416016,0.9736842105263158,496,6,10,44,1015.7046625614166
breast_cancer,reupload_euler,8,1,5,0.05,50,20,0.10185481607913971,0.9868131868131869,0.12248808890581131,0.9736842105263158,1488,1,1,4,1795.0435523986816
breast_cancer,reupload_euler,8,2,5,0.05,50,20,0.124537892639637,0.9824175824175824,0.13225264847278595,0.956140350877193,1488,5,2,29,2082.064739227295
breast_cancer,learned,10,1,5,0.05,50,20,0.1891031265258789,0.945054945054945,0.21494732797145844,0.9210526315789473,40,2,1,16,1430.6092779636383
breast_cancer,learned,10,2,5,0.05,50,20,0.21749019622802734,0.9428571428571428,0.24411053955554962,0.9385964912280702,40,7,2,46,1525.4623901844025
breast_cancer,linear_proj,10,1,5,0.05,50,20,0.10000021755695343,0.9824175824175824,0.1223892867565155,0.9736842105263158,620,5,3,27,1599.2390339374542
breast_cancer,linear_proj,10,2,5,0.05,50,20,0.12303075939416885,0.9824175824175824,0.13601496815681458,0.9736842105263158,620,2,1,46,1574.617828130722
breast_cancer,reupload_euler,10,1,5,0.05,50,20,0.10497929155826569,0.9868131868131869,0.12658433616161346,0.9649122807017544,1860,2,1,21,2521.299963951111
breast_cancer,reupload_euler,10,2,5,0.05,50,20,0.1204734742641449,0.9824175824175824,0.1356276422739029,0.9649122807017544,1860,2,1,20,2522.340773820877
