dataset,encoder,n_qubits,seed,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_encoder_params,best_n_gates,best_n_genome_params,best_genome_number,elapsed_s
iris,learned,4,1,5,0.05,50,20,0.19751964509487152,0.95,0.17654119431972504,0.9666666666666667,16,3,3,38,126.28719186782837
iris,learned,4,2,5,0.05,50,20,0.2977744936943054,0.95,0.3121582269668579,1.0,16,8,2,49,122.20455002784729
iris,linear_proj,4,1,5,0.05,50,20,0.1596798300743103,0.9666666666666667,0.12036141753196716,1.0,40,2,3,20,120.44902062416077
iris,linear_proj,4,2,5,0.05,50,20,0.16932912170886993,0.9666666666666667,0.1253231018781662,1.0,40,3,1,29,119.4835319519043
iris,reupload_euler,4,1,5,0.05,50,20,0.159250408411026,0.9416666666666667,0.10663735121488571,1.0,120,1,1,19,213.29453229904175
iris,reupload_euler,4,2,5,0.05,50,20,0.1497856080532074,0.9583333333333334,0.10125667601823807,1.0,120,3,1,35,210.0400893688202
iris,learned,6,1,5,0.05,50,20,0.2674632668495178,0.9583333333333334,0.26360780000686646,0.9666666666666667,24,0,0,19,167.29737496376038
iris,learned,6,2,5,0.05,50,20,0.36506661772727966,0.9416666666666667,0.35955810546875,0.9666666666666667,24,3,0,30,166.70114660263062
iris,linear_proj,6,1,5,0.05,50,20,0.18458271026611328,0.9666666666666667,0.17130166292190552,0.9666666666666667,60,4,2,43,166.2166554927826
iris,linear_proj,6,2,5,0.05,50,20,0.23222677409648895,0.925,0.19574961066246033,1.0,60,2,1,37,163.97013902664185
iris,reupload_euler,6,1,5,0.05,50,20,0.1377815455198288,0.9583333333333334,0.10003712773323059,1.0,180,3,1,17,294.19452714920044
iris,reupload_euler,6,2,5,0.05,50,20,0.17270810902118683,0.9583333333333334,0.14751838147640228,1.0,180,0,0,33,294.28652572631836
iris,learned,8,1,5,0.05,50,20,0.3555746376514435,0.9416666666666667,0.32553189992904663,0.9333333333333333,32,2,0,41,211.1639060974121
iris,learned,8,2,5,0.05,50,20,0.29432839155197144,0.9666666666666667,0.2684275507926941,1.0,32,5,3,31,209.71927452087402
iris,linear_proj,8,1,5,0.05,50,20,0.23649029433727264,0.925,0.15181875228881836,1.0,80,3,2,31,220.15551042556763
iris,linear_proj,8,2,5,0.05,50,20,0.23708447813987732,0.9666666666666667,0.25857165455818176,0.9666666666666667,80,5,1,44,218.05808997154236
iris,reupload_euler,8,1,5,0.05,50,20,0.1749580204486847,0.9583333333333334,0.11646728962659836,1.0,240,2,1,47,394.6660406589508
iris,reupload_euler,8,2,5,0.05,50,20,0.15784147381782532,0.9583333333333334,0.11378081142902374,1.0,240,5,1,42,394.1789140701294
iris,learned,10,1,5,0.05,50,20,0.2963281571865082,0.95,0.30525028705596924,0.9,40,2,1,16,264.9826521873474
iris,learned,10,2,5,0.05,50,20,0.3236442506313324,0.9166666666666666,0.362358421087265,0.8666666666666667,40,0,0,10,270.97423481941223
iris,linear_proj,10,1,5,0.05,50,20,0.21320798993110657,0.9583333333333334,0.18862144649028778,0.9666666666666667,100,2,1,31,274.50868487358093
iris,linear_proj,10,2,5,0.05,50,20,0.18833360075950623,0.9666666666666667,0.15642984211444855,1.0,100,0,0,10,269.5819137096405
iris,reupload_euler,10,1,5,0.05,50,20,0.12262842059135437,0.9583333333333334,0.08285089582204819,1.0,300,3,1,16,503.62005138397217
iris,reupload_euler,10,2,5,0.05,50,20,0.15152177214622498,0.9583333333333334,0.10971031337976456,1.0,300,0,0,10,504.56043910980225
