dataset,variant,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_enc_gates,n_ansatz_gates,best_genome_number,elapsed_s
iris,v2,0,4,5,5,0.05,300,30,0.14587928354740143,0.9666666666666667,0.14191220700740814,0.9666666666666667,10,14,271,833.8314728736877
wine,v2,0,4,7,5,0.05,300,30,0.48603782057762146,0.8450704225352113,0.36943116784095764,0.8611111111111112,9,8,291,1091.9160544872284
seeds,v2,0,4,9,5,0.05,300,30,0.2953883111476898,0.8809523809523809,0.2914216220378876,0.8571428571428571,8,9,273,1434.3548860549927
breast_cancer,v2,0,4,9,5,0.05,300,30,0.18015655875205994,0.9318681318681319,0.21173200011253357,0.9122807017543859,10,9,234,3880.735353946686
