dataset,encoder,n_qubits,seed,a_test_acc,b_test_acc,delta_test_acc,a_test_loss,b_test_loss,delta_test_loss,b_best_n_gates,winner
breast_cancer,fixed_amplitude,4,0,0.7280701754385965,0.7192982456140351,-0.00877192982456143,0.555044949054718,0.5465291738510132,-0.008515775203704834,4,A
breast_cancer,fixed_amplitude,6,0,0.6754385964912281,0.6578947368421053,-0.01754385964912275,0.6222897171974182,0.5698145627975464,-0.052475154399871826,2,A
breast_cancer,fixed_amplitude,8,0,0.631578947368421,0.6578947368421053,0.026315789473684292,0.658128023147583,0.5698145627975464,-0.08831346035003662,4,B
breast_cancer,fixed_amplitude,10,0,0.631578947368421,0.6754385964912281,0.04385964912280704,0.6581262946128845,0.613347053527832,-0.04477924108505249,5,B
breast_cancer,fixed_angle,4,0,0.8596491228070176,0.8596491228070176,0.0,0.3964531421661377,0.39294400811195374,-0.00350913405418396,6,tie
breast_cancer,fixed_angle,6,0,0.868421052631579,0.8771929824561403,0.00877192982456132,0.3957529366016388,0.3738032579421997,-0.021949678659439087,7,B
breast_cancer,fixed_angle,8,0,0.8596491228070176,0.8771929824561403,0.01754385964912275,0.396497517824173,0.3651806712150574,-0.0313168466091156,3,B
breast_cancer,fixed_angle,10,0,0.8596491228070176,0.8508771929824561,-0.00877192982456143,0.3965604901313782,0.4210706055164337,0.024510115385055542,3,A
breast_cancer,fixed_basis,4,0,0.7543859649122807,0.7543859649122807,0.0,0.618903398513794,0.545593798160553,-0.07330960035324097,3,tie
breast_cancer,fixed_basis,6,0,0.7543859649122807,0.7631578947368421,0.00877192982456143,0.6165884137153625,0.490659236907959,-0.12592917680740356,4,B
breast_cancer,fixed_basis,8,0,0.7543859649122807,0.7543859649122807,0.0,0.618869960308075,0.553248941898346,-0.065621018409729,4,tie
breast_cancer,fixed_basis,10,0,0.7543859649122807,0.7894736842105263,0.03508771929824561,0.6186854839324951,0.46160659193992615,-0.15707889199256897,5,B
breast_cancer,learned,4,0,0.8771929824561403,0.8859649122807017,0.00877192982456143,0.3177516460418701,0.2972237765789032,-0.02052786946296692,4,B
breast_cancer,learned,6,0,0.8947368421052632,0.9035087719298246,0.00877192982456143,0.297056645154953,0.27676430344581604,-0.020292341709136963,6,B
breast_cancer,learned,8,0,0.8771929824561403,0.9385964912280702,0.061403508771929904,0.3155798017978668,0.2620270252227783,-0.0535527765750885,4,B
breast_cancer,learned,10,0,0.8947368421052632,0.8859649122807017,-0.00877192982456143,0.29886502027511597,0.2918681800365448,-0.006996840238571167,6,A
iris,fixed_amplitude,4,0,0.6666666666666666,0.6666666666666666,0.0,0.6035524010658264,0.8638681769371033,0.26031577587127686,3,tie
iris,fixed_amplitude,6,0,0.3333333333333333,0.4,0.06666666666666671,1.1006629467010498,0.8643514513969421,-0.23631149530410767,4,B
iris,fixed_amplitude,8,0,0.3333333333333333,0.3333333333333333,0.0,1.101282000541687,1.0987943410873413,-0.002487659454345703,3,tie
iris,fixed_amplitude,10,0,0.3333333333333333,0.3333333333333333,0.0,1.1014137268066406,1.2838549613952637,0.18244123458862305,6,tie
iris,fixed_angle,4,0,0.7333333333333333,0.6,-0.1333333333333333,0.5817493796348572,0.7603505849838257,0.1786012053489685,3,A
iris,fixed_angle,6,0,0.7333333333333333,0.7333333333333333,0.0,0.5824929475784302,0.8387667536735535,0.2562738060951233,3,tie
iris,fixed_angle,8,0,0.7333333333333333,0.6333333333333333,-0.09999999999999998,0.5798892378807068,0.6541243195533752,0.07423508167266846,7,A
iris,fixed_angle,10,0,0.7333333333333333,0.6666666666666666,-0.06666666666666665,0.5785427689552307,0.7598169445991516,0.1812741756439209,4,A
iris,fixed_basis,4,0,0.7666666666666667,0.7666666666666667,0.0,0.810760498046875,0.8830878734588623,0.0723273754119873,5,tie
iris,fixed_basis,6,0,0.7,0.3333333333333333,-0.36666666666666664,0.7775400876998901,0.8610836267471313,0.08354353904724121,7,A
iris,fixed_basis,8,0,0.7666666666666667,0.6666666666666666,-0.10000000000000009,0.8254584074020386,0.7610029578208923,-0.06445544958114624,4,A
iris,fixed_basis,10,0,0.7666666666666667,0.7666666666666667,0.0,0.8200247287750244,0.6683412790298462,-0.15168344974517822,5,tie
iris,learned,4,0,0.9333333333333333,1.0,0.06666666666666665,0.21771866083145142,0.18485023081302643,-0.03286843001842499,3,B
iris,learned,6,0,0.9333333333333333,0.9666666666666667,0.033333333333333326,0.21268492937088013,0.35640063881874084,0.14371570944786072,5,B
iris,learned,8,0,0.9666666666666667,0.9666666666666667,0.0,0.22999617457389832,0.35724037885665894,0.12724420428276062,12,tie
iris,learned,10,0,0.9333333333333333,0.8333333333333334,-0.09999999999999998,0.21508103609085083,0.4371100962162018,0.22202906012535095,3,A
seeds,fixed_amplitude,4,0,0.6666666666666666,0.6190476190476191,-0.04761904761904756,0.8783230781555176,0.833885908126831,-0.04443717002868652,3,A
seeds,fixed_amplitude,6,0,0.3333333333333333,0.5952380952380952,0.2619047619047619,1.110788106918335,9.495142936706543,8.384354829788208,1,B
seeds,fixed_amplitude,8,0,0.3333333333333333,0.3333333333333333,0.0,1.1111340522766113,1.0997309684753418,-0.011403083801269531,8,tie
