dataset,encoder,n_qubits,seed,a_test_acc,b_test_acc,delta_test_acc,a_test_loss,b_test_loss,delta_test_loss,b_best_n_gates,winner
seeds,fixed_amplitude,10,0,0.3333333333333333,0.3333333333333333,0.0,1.1098856925964355,1.0821892023086548,-0.02769649028778076,3,tie
seeds,fixed_angle,4,0,0.7380952380952381,0.8571428571428571,0.11904761904761896,0.5933518409729004,0.42914918065071106,-0.16420266032218933,3,B
seeds,fixed_angle,6,0,0.7380952380952381,0.9047619047619048,0.16666666666666663,0.5933781266212463,0.434268593788147,-0.15910953283309937,1,B
seeds,fixed_angle,8,0,0.7380952380952381,0.8333333333333334,0.09523809523809523,0.5933306813240051,0.44566968083381653,-0.1476610004901886,2,B
seeds,fixed_angle,10,0,0.7380952380952381,0.9047619047619048,0.16666666666666663,0.593345046043396,0.434268593788147,-0.15907645225524902,3,B
seeds,fixed_basis,4,0,0.6666666666666666,0.6666666666666666,0.0,0.7775941491127014,0.7273167967796326,-0.05027735233306885,3,tie
seeds,fixed_basis,6,0,0.6666666666666666,0.5952380952380952,-0.0714285714285714,0.7732146382331848,0.7635988593101501,-0.009615778923034668,5,A
seeds,fixed_basis,8,0,0.6666666666666666,0.42857142857142855,-0.23809523809523808,0.7736705541610718,0.911453366279602,0.13778281211853027,7,A
seeds,fixed_basis,10,0,0.6666666666666666,0.5952380952380952,-0.0714285714285714,0.7720768451690674,0.7787699103355408,0.006693065166473389,8,A
seeds,learned,4,0,0.8333333333333334,0.8333333333333334,0.0,0.38639554381370544,0.3320492208003998,-0.054346323013305664,3,tie
seeds,learned,6,0,0.8333333333333334,0.9761904761904762,0.1428571428571428,0.4293457567691803,0.2199234962463379,-0.2094222605228424,1,B
seeds,learned,8,0,0.8809523809523809,0.9761904761904762,0.09523809523809523,0.35161063075065613,0.23847350478172302,-0.1131371259689331,2,B
seeds,learned,10,0,0.8571428571428571,0.9523809523809523,0.09523809523809523,0.3785989582538605,0.23287023603916168,-0.1457287222146988,1,B
wine,fixed_amplitude,4,0,0.8055555555555556,0.8333333333333334,0.02777777777777779,0.7218096852302551,0.7969744205474854,0.07516473531723022,7,B
wine,fixed_amplitude,6,0,0.3055555555555556,0.3888888888888889,0.08333333333333331,1.025684118270874,1.0893961191177368,0.06371200084686279,3,B
wine,fixed_amplitude,8,0,0.3888888888888889,0.6111111111111112,0.22222222222222227,1.0898730754852295,0.9286971688270569,-0.1611759066581726,5,B
wine,fixed_amplitude,10,0,0.3888888888888889,0.3888888888888889,0.0,1.0898308753967285,1.0910091400146484,0.0011782646179199219,9,tie
wine,fixed_angle,4,0,0.8055555555555556,0.8055555555555556,0.0,0.5660408139228821,0.5189960598945618,-0.04704475402832031,9,tie
wine,fixed_angle,6,0,0.8055555555555556,0.6666666666666666,-0.13888888888888895,0.5663442611694336,0.8357172608375549,0.26937299966812134,2,A
wine,fixed_angle,8,0,0.8055555555555556,0.4722222222222222,-0.33333333333333337,0.5680859088897705,0.9742224812507629,0.40613657236099243,3,A
wine,fixed_angle,10,0,0.8055555555555556,0.5,-0.3055555555555556,0.5676814317703247,0.9530974626541138,0.38541603088378906,4,A
wine,fixed_basis,4,0,0.6111111111111112,0.4722222222222222,-0.13888888888888895,1.0923957824707031,1.0012004375457764,-0.09119534492492676,4,A
wine,fixed_basis,6,0,0.4722222222222222,0.4722222222222222,0.0,0.9998921155929565,10.277913093566895,9.278020977973938,3,tie
wine,fixed_basis,8,0,0.4722222222222222,0.5833333333333334,0.11111111111111116,1.0001282691955566,0.926605224609375,-0.07352304458618164,6,B
wine,fixed_basis,10,0,0.6111111111111112,0.4722222222222222,-0.13888888888888895,1.0914627313613892,1.013144612312317,-0.07831811904907227,3,A
wine,learned,4,0,0.8055555555555556,0.8333333333333334,0.02777777777777779,0.4778752326965332,0.4607490003108978,-0.017126232385635376,0,B
wine,learned,6,0,0.8333333333333334,0.8055555555555556,-0.02777777777777779,0.5005666017532349,0.4863066077232361,-0.01425999402999878,1,A
wine,learned,8,0,0.8055555555555556,0.8611111111111112,0.05555555555555558,0.4597437083721161,0.46267053484916687,0.0029268264770507812,3,B
wine,learned,10,0,0.7777777777777778,0.8333333333333334,0.05555555555555558,0.520116925239563,0.46545469760894775,-0.054662227630615234,0,B
