dataset,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,n_enc_gates,n_ansatz_gates,best_genome_number,elapsed_s
iris,0,4,5,5,0.05,120,25,0.30600112676620483,0.9,0.2886257469654083,0.9,2,5,106,457.1679608821869
wine,0,4,6,5,0.05,120,25,0.5082792043685913,0.852112676056338,0.32720258831977844,0.8611111111111112,6,4,70,704.4147069454193
seeds,0,4,7,5,0.05,120,25,0.33912771940231323,0.8809523809523809,0.3469039499759674,0.8095238095238095,4,1,117,610.4557373523712
breast_cancer,0,4,6,5,0.05,120,25,0.2410811483860016,0.9054945054945055,0.26065191626548767,0.9210526315789473,4,3,120,1694.869924545288
