dataset,encoder,n_qubits,seed,epochs,lr,train_loss,train_acc,test_loss,test_acc,n_encoder_params,n_ansatz_params,elapsed_s
iris,fixed_angle,4,0,30,0.05,0.45975667238235474,0.8333333333333334,0.5817493796348572,0.7333333333333333,0,8,138.52709007263184
iris,fixed_amplitude,4,0,30,0.05,0.6135216951370239,0.6666666666666666,0.6035524010658264,0.6666666666666666,0,8,157.89593172073364
iris,learned,4,0,30,0.05,0.18214187026023865,0.9583333333333334,0.21771866083145142,0.9333333333333333,16,8,260.92638993263245
iris,fixed_angle,6,0,30,0.05,0.4602864682674408,0.8333333333333334,0.5824929475784302,0.7333333333333333,0,12,228.88702392578125
iris,fixed_amplitude,6,0,30,0.05,1.1006629467010498,0.3333333333333333,1.1006629467010498,0.3333333333333333,0,12,191.35455012321472
iris,learned,6,0,30,0.05,0.17987366020679474,0.9583333333333334,0.21268492937088013,0.9333333333333333,24,12,405.902019739151
iris,fixed_angle,8,0,30,0.05,0.458683043718338,0.8333333333333334,0.5798892378807068,0.7333333333333333,0,16,275.14860677719116
iris,fixed_amplitude,8,0,30,0.05,1.1012818813323975,0.3333333333333333,1.101282000541687,0.3333333333333333,0,16,251.9790391921997
iris,learned,8,0,30,0.05,0.21333928406238556,0.9416666666666667,0.22999617457389832,0.9666666666666667,32,16,511.34202885627747
iris,fixed_angle,10,0,30,0.05,0.458027720451355,0.8333333333333334,0.5785427689552307,0.7333333333333333,0,20,366.29325222969055
iris,fixed_amplitude,10,0,30,0.05,1.1014137268066406,0.3333333333333333,1.1014137268066406,0.3333333333333333,0,20,349.37841987609863
iris,learned,10,0,30,0.05,0.18247699737548828,0.9583333333333334,0.21508103609085083,0.9333333333333333,40,20,658.0931088924408
wine,fixed_angle,4,0,30,0.05,0.6567893624305725,0.7746478873239436,0.5660408139228821,0.8055555555555556,0,8,150.22369003295898
wine,fixed_amplitude,4,0,30,0.05,0.7348318696022034,0.7605633802816901,0.7218096852302551,0.8055555555555556,0,8,150.56491017341614
wine,learned,4,0,30,0.05,0.537303626537323,0.7816901408450704,0.4778752326965332,0.8055555555555556,16,8,316.55246901512146
wine,fixed_angle,6,0,30,0.05,0.6567641496658325,0.7746478873239436,0.5663442611694336,0.8055555555555556,0,12,337.00858902931213
wine,fixed_amplitude,6,0,30,0.05,0.9967493414878845,0.44366197183098594,1.025684118270874,0.3055555555555556,0,12,312.5937237739563
wine,learned,6,0,30,0.05,0.543225109577179,0.795774647887324,0.5005666017532349,0.8333333333333334,24,12,469.9733681678772
wine,fixed_angle,8,0,30,0.05,0.6566470265388489,0.7746478873239436,0.5680859088897705,0.8055555555555556,0,16,493.60910415649414
wine,fixed_amplitude,8,0,30,0.05,1.0851439237594604,0.4014084507042254,1.0898730754852295,0.3888888888888889,0,16,459.31842708587646
wine,learned,8,0,30,0.05,0.5221575498580933,0.8028169014084507,0.4597437083721161,0.8055555555555556,32,16,890.910238981247
wine,fixed_angle,10,0,30,0.05,0.6566706299781799,0.7746478873239436,0.5676814317703247,0.8055555555555556,0,20,794.3869578838348
wine,fixed_amplitude,10,0,30,0.05,1.085159182548523,0.4014084507042254,1.0898308753967285,0.3888888888888889,0,20,510.23604011535645
wine,learned,10,0,30,0.05,0.5249960422515869,0.7887323943661971,0.520116925239563,0.7777777777777778,40,20,1208.8189208507538
seeds,fixed_angle,4,0,30,0.05,0.6090770363807678,0.7380952380952381,0.5933518409729004,0.7380952380952381,0,8,258.4643840789795
seeds,fixed_amplitude,4,0,30,0.05,0.935235321521759,0.6666666666666666,0.8783230781555176,0.6666666666666666,0,8,359.2661509513855
seeds,learned,4,0,30,0.05,0.31489700078964233,0.8809523809523809,0.38639554381370544,0.8333333333333334,16,8,560.3268730640411
seeds,fixed_angle,6,0,30,0.05,0.6091023087501526,0.7380952380952381,0.5933781266212463,0.7380952380952381,0,12,241.30686902999878
seeds,fixed_amplitude,6,0,30,0.05,1.110788106918335,0.3333333333333333,1.110788106918335,0.3333333333333333,0,12,127.49037790298462
seeds,learned,6,0,30,0.05,0.3602016866207123,0.8630952380952381,0.4293457567691803,0.8333333333333334,24,12,306.6582407951355
seeds,fixed_angle,8,0,30,0.05,0.6091684103012085,0.7380952380952381,0.5933306813240051,0.7380952380952381,0,16,264.93807005882263
seeds,fixed_amplitude,8,0,30,0.05,1.1111340522766113,0.3333333333333333,1.1111340522766113,0.3333333333333333,0,16,229.67874813079834
seeds,learned,8,0,30,0.05,0.30488306283950806,0.8809523809523809,0.35161063075065613,0.8809523809523809,32,16,400.72486996650696
seeds,fixed_angle,10,0,30,0.05,0.6091594696044922,0.7380952380952381,0.593345046043396,0.7380952380952381,0,20,360.87239813804626
seeds,fixed_amplitude,10,0,30,0.05,1.1098856925964355,0.3333333333333333,1.1098856925964355,0.3333333333333333,0,20,289.8281819820404
seeds,learned,10,0,30,0.05,0.34301483631134033,0.8630952380952381,0.3785989582538605,0.8571428571428571,40,20,617.0376081466675
breast_cancer,fixed_angle,4,0,30,0.05,0.37320804595947266,0.8461538461538461,0.3964531421661377,0.8596491228070176,0,8,278.975466966629
breast_cancer,fixed_amplitude,4,0,30,0.05,0.5316399335861206,0.7582417582417582,0.555044949054718,0.7280701754385965,0,8,253.58089804649353
breast_cancer,learned,4,0,30,0.05,0.2990444004535675,0.8703296703296703,0.3177516460418701,0.8771929824561403,16,8,438.8987500667572
breast_cancer,fixed_angle,6,0,30,0.05,0.3727126717567444,0.8461538461538461,0.3957529366016388,0.868421052631579,0,12,446.5785961151123
breast_cancer,fixed_amplitude,6,0,30,0.05,0.6313616633415222,0.6571428571428571,0.6222897171974182,0.6754385964912281,0,12,502.11998176574707
breast_cancer,learned,6,0,30,0.05,0.278226763010025,0.8901098901098901,0.297056645154953,0.8947368421052632,24,12,1292.313243150711
breast_cancer,fixed_angle,8,0,30,0.05,0.37324491143226624,0.8461538461538461,0.396497517824173,0.8596491228070176,0,16,966.114814043045
breast_cancer,fixed_amplitude,8,0,30,0.05,0.6608688831329346,0.6263736263736264,0.658128023147583,0.631578947368421,0,16,859.2556478977203
breast_cancer,learned,8,0,30,0.05,0.29799550771713257,0.8703296703296703,0.3155798017978668,0.8771929824561403,32,16,1883.415076971054
breast_cancer,fixed_angle,10,0,30,0.05,0.37330362200737,0.8461538461538461,0.3965604901313782,0.8596491228070176,0,20,1716.6637291908264
breast_cancer,fixed_amplitude,10,0,30,0.05,0.6609936356544495,0.6263736263736264,0.6581262946128845,0.631578947368421,0,20,1348.7949550151825
breast_cancer,learned,10,0,30,0.05,0.2808821499347687,0.8901098901098901,0.29886502027511597,0.8947368421052632,40,20,3054.8208351135254
